murder,rape,gangrape,robbery,theft,assualt murders,sexual harassement,totarea,totalcrime,long,lat,crime/area,area,crime_density,weighted_crime_score,area_encoded
0.1,0.27906976744186046,0.0,0.088,0.137987012987013,0.1044776119402985,0.025,0.10151194479051828,0.13347921225382933,77.30617,28.52299,30.84564653,SARITA VIHAR,0.033581957368430046,0.18932038834951453,3.527340753851198e-05
0.8,0.3953488372093023,0.16666666666666666,0.472,0.4748376623376624,0.3283582089552239,0.125,0.07574671604517506,0.4945295404814004,77.2242,28.7072,120.3301905,TIMARPUR,0.14719436563989047,0.38834951456310673,0.00012033019051776295
0.1,0.11627906976744186,0.3333333333333333,0.11199999999999999,0.21590909090909094,0.2985074626865672,0.25,0.4973591555158509,0.21808898614150254,77.00361,28.72582,10.17182469,KANJHAWALA,0.007333819062634506,0.2912621359223301,1.0171824688607127e-05
0.5,0.46511627906976744,0.16666666666666666,0.608,0.2702922077922078,0.5074626865671641,0.225,0.015375220611292975,0.3347921225382932,77.17376,28.66004,267.394735,ANAND PARBAT,0.333912164322294,0.49514563106796117,0.0002673947350046477
0.2,0.16279069767441862,0.0,0.07999999999999999,0.11282467532467534,0.04477611940298507,0.1,0.005821129062866056,0.10649161196207149,77.08644,28.59139,162.0504149,SAGARPUR,0.20016368254101274,0.17961165048543692,0.00016205041492494543
0.7000000000000001,0.18604651162790697,0.0,0.32,0.33766233766233766,0.5671641791044776,0.35000000000000003,0.017218110892059615,0.3676148796498906,77.12757,28.71793,272.5505578,PRASHANT VIHAR,0.34045816011492375,0.41262135922330095,0.00017754186088979614
1.0,0.2558139534883721,0.16666666666666666,0.296,0.1680194805194805,0.1044776119402985,0.225,0.05231138390651659,0.19183078045222465,77.179,28.57051,71.92085629,SOUTH CAMPUS,0.0857323432671335,0.38834951456310673,7.192085628569621e-05
0.6000000000000001,0.32558139534883723,0.0,0.76,0.4212662337662338,0.34328358208955223,0.125,0.025449968236914235,0.46900072939460247,77.1159,28.70236,266.0836835,ROHINI SOUTH,0.332247611826952,0.32038834951456313,0.00026608368348074685
0.9,0.5581395348837209,0.0,0.504,0.9821428571428572,0.7910447761194029,0.47500000000000003,0.02441202196150523,0.9912472647702407,77.13276,28.67441,551.349914,PUNJABI BAGH,0.6944306438245713,0.7524271844660194,0.0005513499141104697
0.30000000000000004,0.046511627906976744,0.0,0.07200000000000001,0.05113636363636363,0.13432835820895522,0.325,0.4194519514694916,0.05835156819839533,77.01564,28.60369,4.722542641,DWARKA NORTH,0.0004152381646526848,0.28640776699029125,4.722542641382313e-06
0.30000000000000004,0.27906976744186046,0.0,0.44,0.4228896103896104,0.2985074626865672,0.42500000000000004,0.15024095567869727,0.4442013129102845,77.19735,28.73664,59.203046,BURARI,0.06958540895321588,0.5097087378640777,5.9203046004657734e-05
0.4,0.4418604651162791,0.0,0.096,0.22402597402597402,0.13432835820895522,0.025,0.042226667108780376,0.2202771699489424,77.23362,28.65284,95.36159563,JAMA MASJID,0.11549344759761669,0.30582524271844663,9.536159564035121e-05
0.30000000000000004,0.3488372093023256,0.0,0.32,0.25405844155844154,0.2537313432835821,0.07500000000000001,0.01103213588166724,0.2713347921225383,77.17532,28.70984,263.6389852,ADRASH NAGAR,0.32914374555369985,0.2815533980582524,0.0002636389852096385
0.1,0.16279069767441862,0.3333333333333333,0.312,0.4935064935064935,0.2835820895522388,0.1,0.14534917927769944,0.48212983223924144,77.19606,28.60337,65.76641857,CHANAKYAPURI,0.0779184744265615,0.2038834951456311,6.576641857366207e-05
0.5,0.37209302325581395,0.5,0.208,0.25162337662337664,0.3283582089552239,0.25,0.008509144947416876,0.2720641867250182,77.30265,28.62038,295.7950231,PANDAV NAGAR,0.36997006882384603,0.48543689320388345,0.00029579502323690227
